Move,game_id,next_move,result,a1,b1,c1,d1,e1,f1,g1,h1,a2,b2,c2,d2,e2,f2,g2,h2,a3,b3,c3,d3,e3,f3,g3,h3,a4,b4,c4,d4,e4,f4,g4,h4,a5,b5,c5,d5,e5,f5,g5,h5,a6,b6,c6,d6,e6,f6,g6,h6,a7,b7,c7,d7,e7,f7,g7,h7,a8,b8,c8,d8,e8,f8,g8,h8
95,163,b6b5,0-1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,1,0,10,0,0,0,-10,0,0,1,0,0,0,0,0,-1,1,-1,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
96,163,g3h4,0-1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,1,0,10,0,0,0,-10,0,0,1,0,0,0,-1,0,-1,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
97,163,b5b4,0-1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,1,0,0,0,0,0,-10,0,0,1,0,10,0,-1,0,-1,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
98,163,h4g5,0-1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,1,0,0,0,0,-1,-10,0,0,1,0,10,0,0,0,-1,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
99,163,b4b3,0-1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,1,0,0,0,0,-1,-10,0,0,1,0,0,0,0,0,-1,1,-1,10,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
27,191,c6d4,0-1,5,0,3,0,0,0,10,5,1,1,0,0,9,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,-1,3,-3,0,0,-3,0,0,0,0,0,-1,-1,-1,-9,0,0,-1,-1,-5,0,-10,0,0,-3,0,-5
101,268,e7e6,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-10,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,10,0,0,0,0,0
102,268,c8c7,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-10,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0
103,268,e6e5,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-10,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0
104,268,c7c8,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-10,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0
105,268,e5c5,0-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-10,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0
47,525,g5g4,1-0,0,0,0,0,0,3,10,5,0,0,0,0,0,1,0,1,0,0,5,0,1,3,1,0,1,9,-3,1,0,0,0,0,0,1,0,-1,0,-1,-1,0,0,0,0,0,-1,-9,0,0,-1,-1,0,-3,0,0,0,-1,-5,0,0,0,0,0,-10,-5
48,525,f3e1,1-0,0,0,0,0,0,3,10,5,0,0,0,0,0,1,0,1,0,0,5,0,1,3,1,0,1,9,-3,1,0,0,-1,0,0,1,0,-1,0,-1,0,0,0,0,0,0,-1,-9,0,0,-1,-1,0,-3,0,0,0,-1,-5,0,0,0,0,0,-10,-5
69,561,f3d4,0-1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,10,0,1,0,0,1,0,-3,0,3,0,0,0,0,1,0,0,-9,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-5,-10,0,0,0,-5,0,0
70,561,g7f7,0-1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,10,0,1,0,0,1,0,0,0,3,0,0,0,-3,1,0,0,-9,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-5,-10,0,0,0,-5,0,0
71,561,f8g8,0-1,0,0,5,0,0,0,0,0,0,1,0,0,0,0,10,0,1,0,0,1,0,0,0,3,0,0,0,-3,1,0,0,-9,0,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,-5,-10,0,0,0,-5,0,0
29,1087,d8d7,1-0,5,3,0,9,0,0,0,5,1,0,0,0,0,1,1,10,0,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,3,0,-3,-3,0,0,-1,0,0,0,0,-1,-1,-1,0,-5,0,-9,0,0,-10,-5
130,1241,e4f5,0-1,0,0,0,0,0,0,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
131,1241,h4h3,0-1,0,0,0,0,0,0,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,10,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
132,1241,f5f4,0-1,0,0,0,0,0,0,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
133,1241,h3h2,0-1,0,0,0,0,0,0,-1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
134,1241,f4f3,0-1,0,0,0,0,0,0,-1,5,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
135,1241,h2h1q,0-1,0,0,0,0,0,0,-1,5,0,0,0,0,0,0,0,-1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5
41,1341,f7g6,1-0,5,0,10,0,0,0,3,5,1,1,1,9,0,0,0,0,0,3,0,0,0,0,0,0,0,-1,3,0,1,1,0,0,-1,0,0,3,0,0,1,0,0,0,-3,-1,0,0,1,0,0,0,0,0,-1,-1,-3,-1,-5,0,-3,-9,0,0,-10,-5
42,1341,d5f6,1-0,5,0,10,0,0,0,3,5,1,1,1,9,0,0,0,0,0,3,0,0,0,0,0,0,0,-1,3,0,1,1,0,0,-1,0,0,3,0,0,1,0,0,0,-3,-1,0,0,-1,0,0,0,0,0,-1,0,-3,-1,-5,0,-3,-9,0,0,-10,-5
53,1360,e7e5,1-0,5,0,10,0,0,0,5,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,1,0,0,0,-1,-1,0,0,-1,-1,-1,0,0,0,0,-3,0,-5,-10
54,1360,f3f4,1-0,5,0,10,0,0,0,5,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,1,0,0,0,-1,-1,0,0,-1,-1,-1,0,0,0,0,-3,0,-5,-10
97,1407,a4a3,0-1,0,0,0,0,0,0,0,5,0,-1,0,0,0,-5,0,1,0,0,10,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-10,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,1407,h2h4,0-1,0,0,0,0,0,0,0,5,0,-1,0,0,0,-5,0,1,-1,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-10,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,1407,f2f3,0-1,0,0,0,0,0,0,0,5,0,-1,0,0,0,-5,0,0,-1,0,10,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-10,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1407,c3c2,0-1,0,0,0,0,0,0,0,5,0,-1,0,0,0,0,0,0,-1,0,10,0,0,-5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-10,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,1407,f3g3,0-1,0,0,0,0,0,0,0,5,0,-1,10,0,0,0,0,0,-1,0,0,0,0,-5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,-1,0,0,0,0,0,0,0,-10,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,1711,f2f7,1-0,0,0,0,0,0,5,10,5,0,0,0,0,0,9,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-1,3,0,-9,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,0,-1,0,0,0,-5,0,0,0,-10,-5
65,1711,g8h7,1-0,0,0,0,0,0,5,10,5,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,-1,3,0,-9,0,-1,0,0,0,0,0,0,-1,0,-1,0,0,0,9,-1,0,0,0,-5,0,0,0,-10,-5
