Move,game_id,next_move,result,a1,b1,c1,d1,e1,f1,g1,h1,a2,b2,c2,d2,e2,f2,g2,h2,a3,b3,c3,d3,e3,f3,g3,h3,a4,b4,c4,d4,e4,f4,g4,h4,a5,b5,c5,d5,e5,f5,g5,h5,a6,b6,c6,d6,e6,f6,g6,h6,a7,b7,c7,d7,e7,f7,g7,h7,a8,b8,c8,d8,e8,f8,g8,h8
74,2081,b8g3,1-0,5,3,10,0,0,0,0,0,-9,1,0,0,0,0,0,0,0,0,1,1,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-10,0,0,9,0,0,0,0,0,-5
75,2081,g7f7,1-0,5,3,10,0,0,0,0,0,-9,1,0,0,0,0,0,0,0,0,1,1,0,-3,9,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,-10,0,0,0,0,0,0,0,0,-5
76,2081,g3f3,1-0,5,3,10,0,0,0,0,0,-9,1,0,0,0,0,0,0,0,0,1,1,0,-3,9,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-10,0,0,0,0,0,0,0,0,0,-5
102,2122,c3e3,1-0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,1,0,-1,-10,0,0,0,0,0,0,0,0,1,10,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,2122,f3g2,1-0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,-10,0,0,0,0,0,0,0,0,1,10,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,2122,g4g5,1-0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,-10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,10,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,2122,d5d4,1-0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,-10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,0,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,2122,e3d4,1-0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,-10,0,0,0,0,0,1,0,0,0,0,0,0,-1,0,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,2142,a2a3,1-0,0,0,0,0,0,0,0,5,1,1,3,0,0,1,10,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-3,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,-1,0,-10,0,0,0,0,0,0,0,0,0,0,0
63,2142,a6a5,1-0,0,0,0,0,0,0,0,5,0,1,3,0,0,1,10,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,-3,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,-1,-1,0,-10,0,0,0,0,0,0,0,0,0,0,0
64,2142,c3a5,1-0,0,0,0,0,0,0,0,5,0,1,3,0,0,1,10,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,1,-1,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,-1,0,-10,0,0,0,0,0,0,0,0,0,0,0
