Move,game_id,next_move,result,a1,b1,c1,d1,e1,f1,g1,h1,a2,b2,c2,d2,e2,f2,g2,h2,a3,b3,c3,d3,e3,f3,g3,h3,a4,b4,c4,d4,e4,f4,g4,h4,a5,b5,c5,d5,e5,f5,g5,h5,a6,b6,c6,d6,e6,f6,g6,h6,a7,b7,c7,d7,e7,f7,g7,h7,a8,b8,c8,d8,e8,f8,g8,h8
59,15454,b8b2,0-1,5,0,0,0,0,10,0,5,1,1,0,0,0,1,1,-9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-1,-1,9,0,0,0,-3,0,-1,-10,0,-5,0,0,0,0,0,-5
60,15454,f2f3,0-1,5,0,0,0,0,10,0,5,1,-5,0,0,0,1,1,-9,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-1,-1,9,0,0,0,-3,0,-1,-10,0,0,0,0,0,0,0,-5
61,15454,h2g2,0-1,5,0,0,0,0,10,0,5,1,-5,0,0,0,0,1,-9,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,-1,-1,9,0,0,0,-3,0,-1,-10,0,0,0,0,0,0,0,-5
46,15475,g4e5,1-0,5,0,0,9,0,0,10,5,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,1,1,0,0,1,-1,0,3,0,0,0,0,0,0,-1,0,0,0,-1,0,0,-1,0,-1,0,-1,-3,0,0,0,0,-3,-1,0,0,-5,0,0,0,-10,-5
47,15475,f8d8,1-0,5,0,0,9,0,0,10,5,0,1,0,0,0,1,1,3,0,0,0,0,0,0,0,1,1,0,0,1,-1,0,0,0,0,0,0,0,3,-1,0,0,0,-1,0,0,-1,0,-1,0,-1,-3,0,0,0,0,-3,-1,0,0,-5,0,0,0,-10,-5
48,15559,b1e1,0-1,0,0,0,0,0,0,10,5,1,0,0,0,0,3,1,0,0,0,-3,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,3,-1,-1,0,0,-1,0,0,-1,0,0,0,-5,0,-1,-1,-3,0,0,5,0,0,0,0,-10,-5
49,15559,f8b8,0-1,0,0,0,0,0,0,10,5,1,0,0,0,0,3,1,0,0,0,-3,0,0,1,0,0,0,0,-1,1,0,0,0,1,0,0,0,0,0,0,3,-1,-1,0,0,-1,0,0,-1,0,0,0,-5,0,-1,-1,-3,0,0,5,0,0,0,0,-10,-5
60,15561,e1e8,1-0,5,10,3,0,0,0,5,0,1,0,1,0,0,0,0,0,0,1,0,1,0,9,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,-1,0,0,0,0,-1,-1,-5,-9,0,0,1,-1,0,0,0,0,0,0,-3,0,-10
61,15561,c7f7,1-0,5,10,3,0,0,0,5,0,1,0,1,0,0,0,0,0,0,1,0,1,0,9,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,-1,0,0,0,0,-1,-1,-5,-9,0,0,1,-1,0,0,0,0,0,0,-3,0,-10
62,15561,e8f8,1-0,5,10,3,0,0,0,5,0,1,0,1,0,0,0,0,0,0,1,0,1,0,9,0,0,0,0,0,-1,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,-1,0,0,0,0,-1,-1,-5,0,0,0,-9,-1,0,0,0,0,0,0,-3,0,-10
