Move,game_id,next_move,result,a1,b1,c1,d1,e1,f1,g1,h1,a2,b2,c2,d2,e2,f2,g2,h2,a3,b3,c3,d3,e3,f3,g3,h3,a4,b4,c4,d4,e4,f4,g4,h4,a5,b5,c5,d5,e5,f5,g5,h5,a6,b6,c6,d6,e6,f6,g6,h6,a7,b7,c7,d7,e7,f7,g7,h7,a8,b8,c8,d8,e8,f8,g8,h8
81,17020,c8d7,1-0,0,0,0,0,0,0,10,5,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,9,0,3,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-3,0,-9,0,-10,-5
82,17020,c1c7,1-0,0,0,0,0,0,0,10,5,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,9,0,3,-1,0,0,0,0,-1,0,-1,0,0,0,0,-3,0,0,0,0,0,0,0,0,-9,0,-10,-5
83,17020,d7b5,1-0,0,0,0,0,0,0,10,5,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,-1,0,0,-1,9,0,3,-1,0,0,0,0,-1,0,-1,0,0,0,0,-3,0,0,0,0,0,0,0,0,-9,0,-10,-5
84,17020,e5g7,1-0,0,0,0,0,0,0,10,5,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,-1,0,0,0,0,0,0,-1,-3,0,-1,9,0,3,-1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,0,-10,-5
61,17111,g4f3,0-1,5,0,0,0,0,0,10,5,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,-1,1,-3,9,0,1,1,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,-9,-1,-3,-5,0,0,0,0,0,-10
62,17111,h5h6,0-1,5,0,0,0,0,0,10,5,0,0,0,0,0,0,1,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,-1,1,-3,9,0,1,1,0,0,-1,0,0,0,0,-1,0,-1,0,0,0,-9,-1,-3,-5,0,0,0,0,0,-10
63,17111,g7g2,0-1,5,0,0,0,0,0,10,5,0,0,0,0,0,0,1,0,0,0,1,0,0,-1,0,0,0,0,0,0,0,1,0,0,0,0,-1,1,-3,9,0,0,1,0,0,-1,0,0,0,1,-1,0,-1,0,0,0,-9,-1,-3,-5,0,0,0,0,0,-10
54,17271,d1e1,0-1,0,0,0,5,0,0,10,5,0,3,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,-3,0,0,0,-1,1,0,0,0,0,0,-1,0,-3,0,-1,0,-1,-1,0,0,0,0,0,-1,0,-5,0,-10,0,-5,0,0,0
55,17271,e8e1,0-1,0,0,0,0,5,0,10,5,0,3,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,-3,0,0,0,-1,1,0,0,0,0,0,-1,0,-3,0,-1,0,-1,-1,0,0,0,0,0,-1,0,-5,0,-10,0,-5,0,0,0
41,17317,a8f8,1-0,5,0,0,0,0,0,0,5,0,1,0,0,0,10,0,0,1,3,0,0,0,9,1,-9,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-3,0,0,-1,0,-1,0,-1,0,-1,-1,0,-3,0,-1,0,-1,-5,0,0,0,0,3,-10,-5
42,17317,d1h1,1-0,5,0,0,0,0,0,0,5,0,1,0,0,0,10,0,0,1,3,0,0,0,9,1,-9,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-3,0,0,-1,0,-1,0,-1,0,-1,-1,0,-3,0,-1,0,-1,0,0,0,0,0,-5,-10,-5
93,17323,f7g8,1-0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,10,0,0,0,0,0,0,1,0,-1,0,3,0,0,-10,0,0,0,0,0,0,0,0,0,0
